103/01/31, 38, 17, 23, 49, 48, 27, 19
103/01/30, 09, 22, 49, 48, 45, 44, 08
103/01/28, 02, 30, 07, 26, 05, 01, 24
103/01/24, 04, 20, 29, 41, 45, 01, 36
103/01/21, 22, 43, 12, 44, 38, 15, 09
103/01/17, 20, 29, 13, 15, 26, 36, 37
103/01/14, 11, 49, 02, 45, 41, 21, 26
103/01/10, 07, 19, 17, 30, 37, 32, 03
103/01/07, 01, 07, 25, 36, 21, 35, 39
103/01/03, 11, 35, 21, 18, 37, 20, 08
103/02/28, 17, 24, 13, 18, 32, 28, 37
103/02/25, 13, 09, 05, 03, 46, 12, 04
103/02/21, 11, 12, 23, 40, 28, 48, 09
103/02/18, 47, 19, 06, 26, 32, 20, 35
103/02/14, 24, 10, 48, 33, 20, 19, 01
103/02/11, 15, 31, 21, 06, 44, 22, 41
103/02/07, 22, 05, 28, 11, 21, 12, 25
103/02/04, 19, 46, 32, 12, 42, 08, 28
103/02/03, 02, 16, 27, 30, 17, 01, 48
103/02/02, 14, 45, 03, 24, 19, 13, 05
103/02/01, 36, 37, 13, 19, 09, 06, 27
103/03/28, 09, 18, 23, 36, 47, 35, 41
103/03/25, 19, 25, 47, 42, 30, 23, 16
103/03/21, 47, 26, 46, 08, 31, 18, 20
103/03/18, 26, 40, 35, 39, 12, 28, 16
103/03/14, 47, 08, 40, 41, 27, 02, 28
103/03/11, 40, 20, 15, 16, 13, 43, 14
103/03/07, 38, 26, 06, 37, 18, 30, 16
103/03/04, 43, 08, 40, 35, 37, 26, 06
103/04/29, 02, 46, 09, 44, 30, 27, 22
103/04/25, 46, 24, 34, 04, 38, 35, 30
103/04/22, 18, 37, 20, 11, 12, 15, 42
103/04/18, 08, 48, 15, 40, 09, 44, 24
103/04/15, 26, 44, 24, 08, 35, 05, 41
103/04/11, 01, 03, 17, 09, 12, 04, 15
103/04/08, 28, 27, 17, 01, 45, 14, 11
103/04/04, 08, 24, 35, 37, 41, 47, 23
103/04/01, 46, 18, 29, 30, 47, 22, 06
103/05/30, 21, 09, 17, 35, 24, 30, 15
103/05/27, 26, 19, 23, 10, 39, 32, 16
103/05/23, 30, 11, 22, 46, 17, 27, 15
103/05/20, 34, 33, 30, 13, 35, 06, 38
103/05/16, 45, 41, 31, 42, 14, 38, 29
103/05/13, 32, 20, 31, 44, 29, 15, 23
103/05/09, 13, 01, 27, 21, 37, 11, 03
103/05/06, 10, 46, 39, 35, 40, 25, 31
103/05/02, 01, 25, 37, 23, 07, 40, 12
103/06/27, 35, 34, 36, 27, 13, 21, 24
103/06/24, 14, 40, 08, 01, 12, 41, 15
103/06/20, 14, 36, 12, 16, 33, 47, 48
103/06/17, 03, 06, 20, 48, 18, 25, 12
103/06/13, 28, 32, 37, 42, 04, 21, 16
103/06/10, 03, 32, 11, 35, 33, 28, 30
103/06/06, 41, 29, 47, 49, 25, 40, 48
103/06/03, 31, 32, 16, 44, 35, 33, 46
